studyID,studyUUID,studyName,siteID,custodianID,custodianName,pipelineID,data,standardFormat
STK-1,ff08af0d-dbaf-4773-b90d-83baa44aab83,NA,STK,SLUA,Swedish University of Agricultural Sciences,NA,FALSE,NA
LLE-1,e5088083-e679-4d97-a2f5-f2a13dd6135b,NA,LLE,IBE,Institut de Biologia Evolutiva (CSIC-UPF),NA,FALSE,NA
LDZ-1,74134f72-8bfa-435b-b978-6bf98cb8743b,NA,LDZ,LDZ,University of Lodz,NA,FALSE,NA
CON-1,6c917ea9-882d-4ad6-957f-9111f592a6c2,NA,CON,EXE,University of Exeter,NA,FALSE,NA
JNV-1,49c9e58e-3387-43ca-a2e9-63d784eae3ee,NA,JNV,GOBE,Groupe Ornithologique de Baulmes et Environs (GOBE),NA,FALSE,NA
NVD-1,2aa1da7d-b5c2-41cb-a448-a1d179a1f1ad,NA,NVD,GOBE,Groupe Ornithologique de Baulmes et Environs (GOBE),NA,FALSE,NA
DNN-1,744f1f0c-88ae-4c08-a21d-82564e57954f,NA,DNN,SUST,Southern University of Science and Technology,NA,FALSE,NA
CBG-1,7c305501-6faa-4efe-ae1f-9a2ddd0e36fd,NA,CBG,ARU,Anglia Ruskin University,NA,FALSE,NA
CHH-1,839df8e7-fd86-4263-a817-22222152d4e6,NA,CHH,ARU,Anglia Ruskin University,NA,FALSE,NA
COI-1,fb107d45-e3ff-4a34-8d85-7292823055e9,NA,COI,MCG,McGill University,NA,FALSE,NA
SCL-1,f89c3188-d860-4892-90da-f3fbf084ad3c,NA,SCL,CEAB,"Centre for Advanced Studies (CEAB), CSIC",NA,FALSE,NA
PGF-1,22d9e38b-23e1-4415-99d5-e73975d8aa15,NA,PGF,MIZPAS,"Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
PRB-1,1e733cf7-9b4f-44a6-9ade-baa229b28eea,NA,PRB,MIZPAS,"Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
KVI-1,17103e17-c088-4ad7-99ee-7e2f4be43889,NA,KVI,BLU,"Department of Biology, Lund University",NA,FALSE,NA
STP-1,bb359edb-5138-46e0-87be-13cfa8710fd9,NA,STP,TRN,University of Turin,NA,FALSE,NA
NEW-1,6837adc9-dbd0-4695-8460-2a8bb64a5dac,NA,NEW,ISPA,Ispa - Instituto Universitário,NA,FALSE,NA
MDM-1,eb9256bb-b82a-4c91-8769-23a5678c926a,NA,MDM,EKZNW,Ezemvelo KZN WIldlife,NA,FALSE,NA
LIN-1,e70c5e35-3cb5-4e32-b049-38dff132786b,NA,LIN,ORI,Ornis italica,NA,FALSE,NA
KAU-1,6c86d3a6-a72d-456a-912e-b4a0e7a73920,NA,KAU,TUR,"Department of Biology, University of Turku",NA,FALSE,NA
MYQ-1,e55b4742-ed5e-41a9-bc27-375de8501c07,NA,MYQ,ZICAS,"Zoology Institute, Chinese Academy of Science",NA,FALSE,NA
MUP-1,a8c0ce33-1841-4dd8-9cc2-9daa7b110b5c,NA,MUP,OLD,University of Oldenburg,NA,FALSE,NA
