Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
,18400,Zonotrichia albicollis,02.06.08,,Zonotrichia albicollis,35086
,18410,Zonotrichia atricapilla,02.06.08,,Zonotrichia atricapilla,35084
,18420,Junco hyemalis,02.06.08,,Junco hyemalis,35023
,18430,Junco hyemalis caniceps,02.06.08,,Junco caniceps,35037
,18440,Junco phaeonotus,02.06.08,,Junco phaeonotus,35039
,18450,Calamospiza melanocorys,02.06.08,,Calamospiza melanocorys,34898
,18460,Rhynchophanes mccownii,02.06.08,,Calcarius mccownii,34564
,18470,Calcarius lapponicus,02.06.08,,Calcarius lapponicus,34565
,18480,Calcarius ornatus,02.06.08,,Calcarius ornatus,34572
,18490,Calcarius pictus,02.06.08,,Calcarius pictus,34571
,18500,Plectrophenax nivalis,02.06.08,,Plectrophenax nivalis,34573
,18501,Plectrophenax nivalis nivalis,02.06.08,,Plectrophenax nivalis nivalis,34574
,18502,Plectrophenax nivalis insulae,02.06.08,,Plectrophenax nivalis insulae,34575
,18510,Emberiza siemsseni,02.06.08,,Emberiza siemsseni,34587
,18520,Emberiza variabilis,02.06.08,,Emberiza variabilis,34709
,18530,Emberiza spodocephala,02.06.08,,Emberiza spodocephala,34704
,18540,Emberiza sulphurata,02.06.08,,Emberiza sulphurata,34703
,18550,Emberiza koslowi,02.06.08,,Emberiza koslowi,34700
,18560,Emberiza leucocephalos,02.06.08,,Emberiza leucocephalos,34596
,18570,Emberiza citrinella,02.06.08,,Emberiza citrinella,34592
,18580,Emberiza cirlus,02.06.08,,Emberiza cirlus,34631
